,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,game_type
100,42016,1610612761,TOR,Toronto Raptors,0041600212,2017-05-03,TOR @ CLE,L,240,42,90,0.467,5,17,0.294,14,19,0.737,8,29,37,21,8,4,13,21,103,-22,1,Playoffs
101,42016,1610612739,CLE,Cleveland Cavaliers,0041600212,2017-05-03,CLE vs. TOR,W,240,41,75,0.547,18,33,0.545,25,34,0.735,6,34,40,28,9,4,16,22,125,22,1,Playoffs
102,42016,1610612762,UTA,Utah Jazz,0041600222,2017-05-04,UTA @ GSW,L,240,38,84,0.452,12,32,0.375,16,20,0.8,5,34,39,19,9,2,15,23,104,-11,1,Playoffs
103,42016,1610612744,GSW,Golden State Warriors,0041600222,2017-05-04,GSW vs. UTA,W,240,42,85,0.494,14,31,0.452,17,20,0.85,9,38,47,33,11,4,17,20,115,11,1,Playoffs
104,42016,1610612738,BOS,Boston Celtics,0041600203,2017-05-04,BOS @ WAS,L,240,27,77,0.351,10,32,0.313,25,33,0.758,8,30,38,20,4,2,16,26,89,-27,2,Playoffs
105,42016,1610612764,WAS,Washington Wizards,0041600203,2017-05-04,WAS vs. BOS,W,240,43,92,0.467,8,25,0.32,22,25,0.88,13,37,50,26,7,5,10,26,116,27,2,Playoffs
106,42016,1610612759,SAS,San Antonio Spurs,0041600233,2017-05-05,SAS @ HOU,W,240,39,86,0.453,9,25,0.36,16,20,0.8,12,37,49,23,7,8,21,17,103,11,1,Playoffs
107,42016,1610612745,HOU,Houston Rockets,0041600233,2017-05-05,HOU vs. SAS,L,240,32,88,0.364,12,39,0.308,16,18,0.889,14,25,39,17,12,7,15,18,92,-11,1,Playoffs
108,42016,1610612739,CLE,Cleveland Cavaliers,0041600213,2017-05-05,CLE @ TOR,W,240,39,76,0.513,13,23,0.565,24,28,0.857,8,41,49,15,2,7,16,20,115,21,1,Playoffs
109,42016,1610612761,TOR,Toronto Raptors,0041600213,2017-05-05,TOR vs. CLE,L,240,38,87,0.437,2,18,0.111,16,17,0.941,1,24,25,17,9,4,6,21,94,-21,1,Playoffs
110,42016,1610612762,UTA,Utah Jazz,0041600223,2017-05-06,UTA vs. GSW,L,240,30,77,0.39,7,22,0.318,24,34,0.706,5,37,42,19,6,3,9,22,91,-11,1,Playoffs
111,42016,1610612744,GSW,Golden State Warriors,0041600223,2017-05-06,GSW @ UTA,W,240,37,84,0.44,9,30,0.3,19,23,0.826,8,43,51,17,3,4,7,20,102,11,1,Playoffs
112,42016,1610612759,SAS,San Antonio Spurs,0041600234,2017-05-07,SAS @ HOU,L,240,44,89,0.494,7,23,0.304,9,18,0.5,11,32,43,23,8,6,14,13,104,-21,1,Playoffs
113,42016,1610612745,HOU,Houston Rockets,0041600234,2017-05-07,HOU vs. SAS,W,240,50,95,0.526,19,43,0.442,6,10,0.6,7,34,41,28,7,3,9,17,125,21,1,Playoffs
114,42016,1610612764,WAS,Washington Wizards,0041600204,2017-05-07,WAS vs. BOS,W,240,44,84,0.524,9,21,0.429,24,27,0.889,12,33,45,29,13,3,20,22,121,19,1,Playoffs
115,42016,1610612738,BOS,Boston Celtics,0041600204,2017-05-07,BOS @ WAS,L,240,35,79,0.443,14,31,0.452,18,24,0.75,9,22,31,28,13,6,20,25,102,-19,1,Playoffs
116,42016,1610612739,CLE,Cleveland Cavaliers,0041600214,2017-05-07,CLE @ TOR,W,240,39,82,0.476,16,41,0.39,15,16,0.938,5,32,37,24,8,5,11,11,109,7,1,Playoffs
117,42016,1610612761,TOR,Toronto Raptors,0041600214,2017-05-07,TOR vs. CLE,L,240,40,85,0.471,10,29,0.345,12,15,0.8,8,29,37,28,7,3,12,18,102,-7,1,Playoffs
118,42016,1610612744,GSW,Golden State Warriors,0041600224,2017-05-08,GSW @ UTA,W,240,43,84,0.512,11,26,0.423,24,27,0.889,6,44,50,28,8,3,11,26,121,26,1,Playoffs
119,42016,1610612762,UTA,Utah Jazz,0041600224,2017-05-08,UTA vs. GSW,L,240,33,89,0.371,8,27,0.296,21,28,0.75,10,32,42,13,7,4,10,23,95,-26,1,Playoffs
120,42016,1610612745,HOU,Houston Rockets,0041600235,2017-05-09,HOU @ SAS,L,265,38,86,0.442,16,48,0.333,15,21,0.714,9,38,47,21,4,5,16,23,107,-3,1,Playoffs
